ESPANOL	TRADUCTOR	VOZ
Abuela	Tsǘ	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/abuela.mp3
Abuelo	Dä̀ta	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/abuelo.mp3
Aceite	ʼAsǐdi	URL
Adentro	Mbǒ	URL
Agarrar	Thě̱	URL
Aguacate	Tsʼóni	URL
Aguamiel	Tʼáphi	URL
Águila	Nxù̠ni	URL
Agujero	Óki	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/agujero.mp3
Ala	Hwá	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/ala.mp3
Almohada	Nhǚni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/almohada.mp3
caballo	Tǒ̠ge	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/caballo.mp3
alverjón	Dǒkhu̠	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/alverj%C3%B3n.mp3
Amarillo	K’áxt’i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/amarillo.mp3
Anillo	Mphòxo	URL
Anillo	Nt’óxo	URL
Año	Khè̱ya	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/a%C3%B1o.mp3
Apúrate	Xǒ̠ni	URL
Arado	Tʼàbi	URL
Araña	Méxe	URL
Árbol	Zǎ	URL
Arcoíris	ʼMè̠khu̠ni	URL
Arena	ʼMòmü	URL
Arete	Ts'ụ́ngü	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/arete.mp3
burro	’Ǎxnu	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/asno.mp3
Atole	T’ë̀i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/atole.mp3
Aventador	Mhmä́spi	URL
Ayate	Rónkhwa	URL
Ayúdalo	Phóts’i	URL
Azúcar	ʼAsǔga	URL
Azucarera	Nt'ụ'asǔga	URL
Bailar	Në̀i	URL
Barba	Khú̱ni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/barba.mp3
Barbechar	Gwǎntsʼi	URL
Barriga	Ts’ú̠pho	URL
Batea de madera	Hwànza	URL
Bebé	ʼWé̠ne	URL
Tomar	(beber) Tsí	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/tomar.mp3
Bicol	’Màda	URL
Blanco	T’ǎxi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/blanco.mp3
boca	Né	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/boca.mp3
Borrego	Dé̠ti	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/borrego.mp3
Botón	Ndú̠ ʼtʼi	URL
Bozal	Nthǘne	URL
Brincar	Tshógi	URL
Caballo	Tǒ̠ge	URL
Cabello	Xtä̌	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/cabello.mp3
Cabeza	Yä́	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/OT_IXT_TLAX_Esperanza%20Yonca_cabeza.mp3
Cajete	Máda	URL
Calabaza	Mǚ	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/calabaza.mp3
Calcetín	Ntʼókwʼa	URL
calor	Pá	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/calor.mp3
Calzón de manta	Nkhóʼkwʼa	URL
Camino	ʼYǚ	URL
Camote	Bọ́'kw'ä	URL
Campo	Hwä́hi	URL
Cantar	Tǚhü	URL
Cántaro	Xó̠ni	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/c%C3%A1ntaro.mp3
Caña	Kʼáʼyo	URL
Capulín	Dè̠se̱	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/capul%C3%ADn.mp3
Cara	Hmí	url
Carbón	Thë́yä	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/carb%C3%B3n.mp3
Carne	Ngǒ̠	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/carne.mp3
Carro	Nzǎru	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/carro.mp3
Casa	Ngǚ	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/casa.mp3
Cazuela	Gasewě̱ra	URL
Cebada	Sawǎra	URL
Ceniza	ʼMòspi	URL
Ceñidor	Khù̠tʼi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/ce%C3%B1idor.mp3
Cerro	T'ọ'họ	URL
Cielo	Mahë́tsʼi	URL
Cigarro	’Yù̱i	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/cigarro.mp3
Cinco	Ku̠'ta	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/cinco.mp3
Cobija	Xí’yo	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/cobija.mp3
Cocina	Gosǐna	URL
Codo	Yù̠ni	URL
Collar	ʼMède	URL
Comal	Dò’yo	URL
Comida	Thù̠hu̱	URL
Conejo	Khwá	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/conejo.mp3
Contar	Pède	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/contar.mp3
Coser	ʼWé̠di	URL
Costal	Gǔxtha	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/1e2d3a553b0b648dc958562175c2d555b35a9523/costal.mp3
chiquihuite	’Mò̱ts'e	URL
Cruzar	ʼRǎni	URL
Cuchara	Mǒgwa	URL
Cucharón	Ndò̠te mǒgwa	URL
Cuchillo	Kwhài	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/cuchillo.mp3
Chahuistle	ʼWë́	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/chahuistle.mp3
mono	Nzù̠ pa	URL
Chapulín	T’ä́xi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/chapul%C3%ADn.mp3
Chayote	Xàmü	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/chayote.mp3
Chicle	Ts’ápo	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/chicle.mp3
Chicharrón	Pítʼi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/chicharr%C3%B3n.mp3
Chinamite	Dóxo	URL
Chinche	Xä́nʼwe̠	URL
Chiquepextle	ʼMë̀thi	https://raw.githubusercontent.com/damaonihokani-cyber/voz-Ixtenco/main/chiquepextle.mp3
Chiquito	Chité̠pi	URL
Chismoso	Xínkwʼa	URL
Dedo	Xǒ	URL
Dedo gordo	Yä́hmo	URL
Dejar	Tsǒgi	URL
